Entertainer,Gender,Birth_Year,Year_of_Breakthrough_or_Hit_or_Award_Nomination,Breakthrough_Name,Year_of_First_Award,Year_of_Last_Major_Work,Year_of_Death,Occupation,First_Award,Total no of Nominations,Total Awards won,Oscar Won,Grammy Won,Emmy Won,Other Awards ,Photo
Peter O'Toole,M,1932,1962,Lawrence of Arabia,2003,2013,2013,Actor,Oscar,48,28,0,0,1,27,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Peter_O%27Toole_--_LOA_trailer.jpg/200px-Peter_O%27Toole_--_LOA_trailer.jpg
Prince,M,1958,1979,Prince,1985,2016,2016,Singer,Oscar,65,26,1,7,0,18,https://hips.hearstapps.com/hmg-prod/images/prince-prince-performing-on-stage---purple-rain-tour-photo-by-richard-e-aaronredferns2.jpg
Robert Redford,M,1936,1969,Butch Cassidy and the Sundance Kid,1981,2016,"
",Actor,Oscar,55,43,1,0,0,42,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Robert_Redford_%28cropped%29.jpg/320px-Robert_Redford_%28cropped%29.jpg
Sidney Poitier,M,1927,1955,Blackboard Jungle,1964,2008,"
",Actor,Oscar,41,29,1,1,0,27,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Sidney_Poitier_1968.jpg/220px-Sidney_Poitier_1968.jpg
Sly Stone,M,1943,1968,Everyday People,2017,1971,"
",Singer,Grammy,0,1,0,1,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Sly_and_the_Family_Stone_%28cropped%29.jpg/220px-Sly_and_the_Family_Stone_%28cropped%29.jpg
Stevie Wonder,M,1950,1963,Fingertips,1974,2005,"
",Singer,Grammy,62,38,1,24,0,13,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Stevie_Wonder_1994.jpg/220px-Stevie_Wonder_1994.jpg
Tom Hanks,M,1956,1984,Splash,1993,2016,"
",Actor,American Comedy Awards,202,92,2,0,7,83,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Tom_Hanks_2016.jpg/220px-Tom_Hanks_2016.jpg
Tony Bennett,M,1926,1951,Because of You,1963,2016,"
",Singer,Grammy,33,26,0,20,2,4,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Tony_Bennett.jpg/220px-Tony_Bennett.jpg
Wayne Newton,M,1942,1972,"Daddy, Don't You Walk So Fast","
",2016,"
",singer,Walk Of Fame,4,1,0,0,0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/The_Great_Wayne_Newton_2023.jpg/220px-The_Great_Wayne_Newton_2023.jpg
Will Smith,M,1968,1990,The Fresh Prince of Bel-Air,1988,2016,"
",Actor,Grammy,182,91,0,4,0,87,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/TechCrunch_Disrupt_2019_%2848834434641%29_%28cropped%29.jpg/220px-TechCrunch_Disrupt_2019_%2848834434641%29_%28cropped%29.jpg
Willie Nelson,M,1933,1975,Red Headed Stranger,1976,2016,"
",Singer,Grammy,87,34,0,15,0,19,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Willie_Nelson_at_Farm_Aid_2009_%28cropped%29.jpg/220px-Willie_Nelson_at_Farm_Aid_2009_%28cropped%29.jpg
